_id,name,section,week,weight
G_TABLON_AVISOS,Tablón de Avisos,GENERAL,1,0
G_CANAL_TELEGRAM,Canal de Telegram,GENERAL,1,0
G_DOCUMENTACION,Documentación,GENERAL,1,0
G_RECURSOS_ELECTRONICOS,Recursos Electrónicos,GENERAL,1,0
G_CONFIRMAR_GRUPO,Confirma tu grupo de prácticas,GENERAL,1,0
G_PRESENTACION,Presentación - FS1819C,GENERAL,1,0
G_CAPSULA_0,Capsula 0 - Apuntate a tu planeta,GENERAL,2,0
T1_LECTURAS_SIST_COMPUTO,Lecturas Sistemas de cómputo,TEMA 1,2,0
T1_TRANSPARENCIAS_SIST_COMPUTO,Transparencias Sistemas de cómputo,TEMA 1,2,0
T1_CAPSULA_1,Capsula 1 - Unidades de medida,TEMA 1,2,0
PRA_GUION_P1,Guiones de prácticas: Practica 1,PRACTICAS,2,0
T1_GLOSARIO,Glosario T1,TEMA 1,3,0.00384615384615385
T1_CAPSULA_2,Capsula 2 - Relación hardware y software,TEMA 1,3,0
PRA_GUION_P2,Guiones de prácticas: Practica 2,PRACTICAS,4,0
T1_PROBLEMAS_COMPUTO,Relación de problemas: cómputo,TEMA 1,4,0
T1_VALIDA_EJERCICIOS_CAPSULA_1_2,Valida los ejercicios Capsulas 1 y 2,TEMA 1,4,0.00384615384615385
