_id,name,section,week,weight,visible,category,active
ASISTENCIA_PRACTICAS,Asistencia a Prácticas,PRACTICA,14.0,0.1,1.0,PRACTICA,0
EXAMEN_1,Examen del Módulo 1,PRACTICA,14.0,0.45,1.0,PRACTICA,0
EXAMEN_2,Examen del Módulo 2,PRACTICA,14.0,0.45,1.0,PRACTICA,0
FC_CUESTIONARIO_CCV_1,1ra Respuesta al Cuest. de Com. Virtual,FC_ML,2.0,0.1,0.0,FC_ML_ACT,0
FC_CUESTIONARIO_CCV_2,2da Respuesta al cuest. de Com. Virtual,FC_ML,10.0,0.1,0.0,FC_ML_ACT,0
FC_ML_ACT,,,0.0,0.5,0.0,FC_ML_TELEGRAM,0
FC_ML_COMP,,,0.0,0.5,0.0,FC_ML_TELEGRAM,0
FC_ML_CUESTIONARIO,Cuest. de satisfacción con FC_ML,FC_ML,10.0,0.1,0.0,FC_ML_ACT,0
FC_ML_EVA_COMPAÑERO,,FC_ML,9.0,1.0,0.0,FC_ML_COMP,0
FC_ML_TELEGRAM,Experiencia FC_ML,CALIFICACIÓN,10.0,0.3,1.0,TEORIA,0
ML_MEETING_0,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_1,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_2,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_3,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_4,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_5,,,0.0,0.1,0.0,FC_ML_ACT,0
ML_MEETING_6,,,0.0,0.1,0.0,FC_ML_ACT,0
PORTFOLIO,,,0.0,0.1,1.0,TEORIA,0
PORTFOLIO_1,,,0.0,0.54,0.0,PORTFOLIO,0
PORTFOLIO_2,,,0.0,0.46,0.0,PORTFOLIO,0
PRACTICA,,,0.0,0.5,1.0,SUBJECT,0
PRUEBA_A,Prueba escrita de teoría (8-nov),CALIFICACIÓN,9.0,0.3,1.0,TEORIA,0
PRUEBA_B,Prueba escrita de teoría (13-dic),CALIFICACIÓN,14.0,0.3,1.0,TEORIA,0
T1_CUESTIONARIO,Cuest. del Tema 1,TEMA 1,5.0,0.14,1.0,PORTFOLIO_1,0
T1_GLOSARIO,Glosario del Tema 1,TEMA 1,3.0,0.14,1.0,PORTFOLIO_1,0
T1_PROYECTO,Proyecto del Tema 1,TEMA 1,4.0,0.14,1.0,PORTFOLIO_1,0
T1_VALIDA_EJERCICIOS_CAPSULA_1_2,Cuest. de validación Capsulas 1 y 2,TEMA 1,4.0,0.14,1.0,PORTFOLIO_1,0
T2_CUESTIONARIO,Cuest. del Tema 2,TEMA 2,7.0,0.14,1.0,PORTFOLIO_1,0
T2_GLOSARIO,Glosario del Tema 2,TEMA 2,6.0,0.14,1.0,PORTFOLIO_1,0
T2_PROYECTO,Proyecto del Tema 2,TEMA 2,6.0,0.14,1.0,PORTFOLIO_1,0
T3_CUESTIONARIO,Cuest. del Tema 3,TEMA 3,12.0,0.17,1.0,PORTFOLIO_2,0
T3_CUESTIONARIO_REPASO_2_3,Cuest. de repaso Temas 2 y 3,TEMA 3,11.0,0.17,1.0,PORTFOLIO_2,0
T3_GLOSARIO,Glosario del Tema 3,TEMA 3,10.0,0.17,1.0,PORTFOLIO_2,0
T3_PROYECTO,Proyecto del Tema 3,TEMA 3,10.0,0.17,1.0,PORTFOLIO_2,0
T4_CUESTIONARIO,Cuest. del Tema 4,TEMA 4,13.0,0.17,1.0,PORTFOLIO_2,0
T4_GLOSARIO,Glosario del Tema 4,TEMA 4,12.0,0.17,1.0,PORTFOLIO_2,0
TEORIA,,,0.0,0.5,1.0,SUBJECT,0
