_id,name,section,week,weight
G_TABLON_AVISOS,Tablón de Avisos,GENERAL,1,0.0
G_CANAL_TELEGRAM,Canal de Telegram,GENERAL,1,0.0
G_DOCUMENTACION,Documentación,GENERAL,1,0.0
G_RECURSOS_ELECTRONICOS,Recursos Electrónicos,GENERAL,1,0.0
G_CONFIRMAR_GRUPO,Confirma tu grupo de prácticas,GENERAL,1,0.0
G_PRESENTACION,Presentación - FS1819C,GENERAL,1,0.0
G_CAPSULA_0,Capsula 0 - Apuntate a tu planeta,GENERAL,2,0.0
T1_LECTURAS_SIST_COMPUTO,Lecturas Sistemas de cómputo,TEMA 1,2,0.0
T1_TRANSPARENCIAS_SIST_COMPUTO,Transparencias Sistemas de cómputo,TEMA 1,2,0.0
T1_CAPSULA_1,Capsula 1 - Unidades de medida,TEMA 1,2,0.0
PRA_GUION_P1,Guiones de prácticas: Practica 1,PRACTICAS,2,0.0
T1_GLOSARIO,Glosario T1,TEMA 1,3,0.00384615384615385
T1_CAPSULA_2,Capsula 2 - Relación hardware y software,TEMA 1,3,0.0
PRA_GUION_P2,Guiones de prácticas: Practica 2,PRACTICAS,4,0.0
T1_PROBLEMAS_COMPUTO,Relación de problemas: cómputo,TEMA 1,4,0.0
T1_VALIDA_EJERCICIOS_CAPSULA_1_2,Valida los ejercicios Capsulas 1 y 2,TEMA 1,4,0.00384615384615385
T1_CAPSULA_3,Capsula 3 - Software libre y licencias CC,TEMA 1,4,0.0
PRA_GUION_P3,Guiones de prácticas: Practica 3,PRACTICAS,5,0.0
T1_CUESTIONARIO,Cuestionario T1,TEMA 1,5,0.00384615384615385
T2_LECTURAS_INTRO_SO,Lecturas Introducción a los SO,TEMA 2,5,0.0
T2_TRANSPARENCIAS_SO,Transparencias Introducción a los SO,TEMA 2,5,0.0
T2_CAPSULA_4,Capsula 4 - Funciones del SO ,TEMA 2,5,0.0
PRA_GUION_P4,Guiones de prácticas: Practica 4,PRACTICAS,6,0.0
T2_PROYECTO,Proyecto: clasificando SO existentes,TEMA 2,6,0.00384615384615385
T2_DEBATE,Debate: seguridad en los SO,TEMA 2,6,0.00384615384615385
T2_PROBLEMAS_SO,Relación de problemas SO,TEMA 2,7,0.0
T2_GLOSARIO,Glosario T2,TEMA 2,7,0.00384615384615385
T2_CUESTIONARIO,Cuestionario T2,TEMA 2,7,0.00384615384615385
EXAMEN_M1,Examen del Módulo I,PRACTICAS,7,0.225
PRUEBA_1,Prueba 1,TEMA 1,7,0.1125
PRA_GUION_P5,Guiones de prácticas: Práctica 5,PRACTICAS,8,0.0
T2_CAPSULA_5,Capsula 5 - Ejercicios de Planificación CPU,TEMA 2,8,0.0
FC_ML_TELEGRAM,Cal. por pares & meetings analytics,FC_ML,8,0.1125
T3_LECTURAS_COMPILACION,Lecturas Compilación y enlazado,TEMA 3,9,0.0
T3_TRANSPARENCIAS_COMPILACION,Transparencias Compilación y enlazado,TEMA 3,9,0.0
T3_PROYECTO,Proyecto: qué lenguaje se usa en ...,TEMA 3,9,0.00384615384615385
T3_GLOSARIO,Glosario T3,TEMA 3,9,0.00384615384615385
PRA_GUION_P6,Guiones de prácticas: Práctica 6,PRACTICAS,10,0.0
PRUEBA_2,Prueba 2,TEMA 2,10,0.1125
T3_PROBLEMAS_COMPILACION,Problemas compilación y enlazado,TEMA 3,11,0.0
T3_CUESTIONARIO,Cuestionario T3,TEMA 3,11,0.00384615384615385
T3_REPASO_T2_T3,Repaso T2 T3,TEMA 3,11,0.00384615384615385
PRA_GUION_P7,Guiones de prácticas: Práctica 7,PRACTICAS,11,0.0
PRA_GUION_P8,Guiones de prácticas: Práctica 8,PRACTICAS,12,0.0
T4_LECTURAS_INTRO_BD,Lecturas Introducción a las BD,TEMA 4,12,0.0
T4_TRANSPARENCIAS_INTRO_BD,Transparencias Introducción a las BD,TEMA 4,12,0.0
T4_GLOSARIO,Glosario T4,TEMA 4,12,0.00384615384615385
PRA_SEMINARIO_ACCESS,Seminario de Access,PRACTICAS,13,0.0
ASISTENCIA_PRACTICAS,Asistencia a prácticas,PRACTICAS,13,0.05
EXAMEN_M2,Examen del Módulo II,PRACTICAS,14,0.225
T4_PROBLEMAS_MODELO_ER,Relación de problemas Modelo ER,TEMA 4,14,0.0
T4_CUESTIONARIO,Cuestionario T4,TEMA 4,14,0.00384615384615385
T5_LECTURAS_GENERACION Y DEPURACION,Lecturas Generación y depuración de app,TEMA 5,14,0.0
T5_TRANSPARENCIAS_GENERACION_DEPURACION,Transparencias Generación y depuración de app,TEMA 5,14,0.0
T5_RECURSO_DEPURACION,Recurso: Depuración de programas,TEMA 5,14,0.0
T5_DEPURACION_ENTORNOS_INTEGRADOS,Depuración en Entornos Integrados de Desarrollo ,TEMA 5,14,0.0
T5_EJEMPLO_CICLO_VIDA,Ejemplo del ciclo de vida de un programa en GNU/Linux,TEMA 5,14,0.0
PRUEBA_3,Prueba 3,TEMA 5,15,0.1125
