_id,name,section,week,weight
T1_GLOSARIO,Glosario T1,TEMA 1,3,0.00384615384615385
T1_VALIDA_EJERCICIOS_CAPSULA_1_2,Valida los ejercicios Capsulas 1 y 2,TEMA 1,4,0.00384615384615385
T1_CUESTIONARIO,Cuestionario T1,TEMA 1,5,0.00384615384615385
T2_PROYECTO,Proyecto: clasificando SO existentes,TEMA 2,6,0.00384615384615385
T2_DEBATE,Debate: seguridad en los SO,TEMA 2,6,0.00384615384615385
T2_GLOSARIO,Glosario T2,TEMA 2,7,0.00384615384615385
T2_CUESTIONARIO,Cuestionario T2,TEMA 2,7,0.00384615384615385
EXAMEN_M1,Examen del Módulo I,PRACTICAS,7,0.225
PRUEBA_1,Prueba 1,TEMA 1,7,0.1125
FC_ML_TELEGRAM,Cal. por pares & meetings analytics,FC_ML,8,0.1125
T3_PROYECTO,Proyecto: qué lenguaje se usa en ...,TEMA 3,9,0.00384615384615385
T3_GLOSARIO,Glosario T3,TEMA 3,9,0.00384615384615385
PRUEBA_2,Prueba 2,TEMA 2,10,0.1125
T3_CUESTIONARIO,Cuestionario T3,TEMA 3,11,0.00384615384615385
T3_REPASO_T2_T3,Repaso T2 T3,TEMA 3,11,0.00384615384615385
T4_GLOSARIO,Glosario T4,TEMA 4,12,0.00384615384615385
ASISTENCIA_PRACTICAS,Asistencia a prácticas,PRACTICAS,13,0.05
EXAMEN_M2,Examen del Módulo II,PRACTICAS,14,0.225
T4_CUESTIONARIO,Cuestionario T4,TEMA 4,14,0.00384615384615385
PRUEBA_3,Prueba 3,TEMA 5,15,0.1125
