_id,name,section,week,weight
T1_GLOSARIO,Glosario T1,TEMA 1,3,0.00384615384615385
T1_CAPSULA_2,Capsula 2 - Relación hardware y software,TEMA 1,3,0
PRA_GUION_P2,Guiones de prácticas: Practica 2,PRACTICAS,4,0
T1_PROBLEMAS_COMPUTO,Relación de problemas: cómputo,TEMA 1,4,0
T1_VALIDA_EJERCICIOS_CAPSULA_1_2,Valida los ejercicios Capsulas 1 y 2,TEMA 1,4,0.00384615384615385
T1_CAPSULA_3,Capsula 3 - Software libre y licencias CC,TEMA 1,4,0
PRA_GUION_P3,Guiones de prácticas: Practica 3,PRACTICAS,5,0
T1_CUESTIONARIO,Cuestionario T1,TEMA 1,5,0.00384615384615385
T2_LECTURAS_INTRO_SO,Lecturas Introducción a los SO,TEMA 2,5,0
T2_TRANSPARENCIAS_SO,Transparencias Introducción a los SO,TEMA 2,5,0
T2_CAPSULA_4,Capsula 4 - Funciones del SO ,TEMA 2,5,0
PRA_GUION_P4,Guiones de prácticas: Practica 4,PRACTICAS,6,0
T2_PROYECTO,Proyecto: clasificando SO existentes,TEMA 2,6,0.00384615384615385
T2_DEBATE,Debate: seguridad en los SO,TEMA 2,6,0.00384615384615385
T2_PROBLEMAS_SO,Relación de problemas SO,TEMA 2,7,0
T2_GLOSARIO,Glosario T2,TEMA 2,7,0.00384615384615385
T2_CUESTIONARIO,Cuestionario T2,TEMA 2,7,0.00384615384615385
EXAMEN_M1,Examen del Módulo I,PRACTICAS,7,0.225
PRUEBA_1,Prueba 1,TEMA 1,7,0.1125
PRA_GUION_P5,Guiones de prácticas: Práctica 5,PRACTICAS,8,0
T2_CAPSULA_5,Capsula 5 - Ejercicios de Planificación CPU,TEMA 2,8,0
FC_ML_TELEGRAM,Cal. por pares & meetings analytics,FC_ML,8,0.1125
T3_LECTURAS_COMPILACION,Lecturas Compilación y enlazado,TEMA 3,9,0
T3_TRANSPARENCIAS_COMPILACION,Transparencias Compilación y enlazado,TEMA 3,9,0
T3_PROYECTO,Proyecto: qué lenguaje se usa en ...,TEMA 3,9,0.00384615384615385
T3_GLOSARIO,Glosario T3,TEMA 3,9,0.00384615384615385
